Profile Name,Title,Date,Model name,Model Colour,Verified,Review Text,Votes,Helpful,Review Total,Number of comments
Stanley gladson,Awesome in everything,11 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,This mobile is the best I have ever seen before... Picture quality and speed are awesome.. Sound is bit louder. Battery is the main perspective for me and it fulfilled that with great battery life.... Gaming experience is super graphics are awesome and not hanging even if it's a full graphical game. Camera is good. Overall it's the best.; This mobile is the best I have ever seen before... Picture quality and speed are awesome.. Sound is bit louder. Battery is the main perspective for me and it fulfilled that with great battery life.... Gaming experience is super graphics are awesome and not hanging even if it's a full graphical game. Camera is good. Overall it's the best.,One person found this helpful,Helpful,1,1 Comment
Raja Dhar,Loving it,10 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Simply I love it..; Simply I love it..,2 people found this helpful,Helpful,1,1 Comment
Ravi Kumar,I'm happy with product with that range,4 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Super; Super,15 people found this helpful,Helpful,5,5 Comments
Shahid Shaikh,Issue with the slow motion mode,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Issue with the Camera Slow Motion Mode is Not Working in Home Black Shade is Moving from left to right Sound Quality is not that good; Issue with the Camera Slow Motion Mode is Not Working in Home Black Shade is Moving from left to right Sound Quality is not that good,33 people found this helpful,Helpful,4,4 Comments
Ravi jadhav,Good products,9 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,Good; Good,7 people found this helpful,Helpful,1,1 Comment
Raghuram Madireddy,Speed that you need... Simply Awesome..... Most Powerful Phone in Smartphone Industry..!!!!!!!!!!!,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"The OnePlus 6T is a truly great phone no matter what the price, but at half the cost of an iPhone XS with a cutting-edge in display fingerprint sensor this is the bargain buy of the year. Everybody is complaing about in-display fingerprint scanner is slow but trust me its very very very fast, phone gets unlocked as soon as your finger touches the screen and more accurate than other phones, this is the smartphone that brings all-screen design up a notch. The OnePlus 6T proves that cutting-edge technology doesn’t have to cost the Earth, bringing an in-display fingerprint scanner and a tiny notch for just 37K. The gorgeous, crisp and colourful OLED display is a smidgen bigger at 6.41in, with a smaller chin at the bottom is simply amazing, coming to camera the new nightscape low light mode does a good job of eliminating hand-shake from long-exposure shots. The selfie camera is also pretty good Portrait mode works as advertised, Overall the camera on the OnePlus 6T is good and when you use the fingerprint sensor the night mode for the display is disabled temporarily and then fades back in once you’ve unlocked the phone. The phone comes with a screen protector already on it. the single bottom-firing speaker is loud and has a relatively large amount of bass for the phone, but is easily blocked while playing a game. OnePlus’s alert slider switches between silent, vibrate and ring and is still brilliant. OnePlus phones have always been good for the money, offering top specifications in well-built devices, but not pushing the boundaries of what’s possible. That’s changed for the OnePlus 6T. It is pushing what’s possible with the popular all-screen design using a tiny, attractive teardrop notch and a smaller chin, and it’s a better phone for it. But it is the introduction of a cutting-edge in-display fingerprint scanner, and making it work really well for as little as half the price of an iPhone XS, that is most impressive. there’s no wireless charging, it doesn’t have any of the fancy 3D face systems of some and it looks a little plain, but everything else is top notch. Even the software experience is excellent.
Pros:- Good battery life, great screen, excellent performance, dual-sim, good camera, Bluetooth 5, great software, tiny notch, in-screen fingerprint sensor, alert slider, super-fast charging battery, affordable price relative to premium phones, last but not least Blazing fast software
Cons:- No notification light, glass back but no wireless charging, no expandable storage.
Overall phone is excellent and it really delivers it's tagline Never Settle.
Being a Amazon Prime Member Still Delivery Was Slow And Packing Is Very Poor.....; The OnePlus 6T is a truly great phone no matter what the price, but at half the cost of an iPhone XS with a cutting-edge in display fingerprint sensor this is the bargain buy of the year. Everybody is complaing about in-display fingerprint scanner is slow but trust me its very very very fast, phone gets unlocked as soon as your finger touches the screen and more accurate than other phones, this is the smartphone that brings all-screen design up a notch. The OnePlus 6T proves that cutting-edge technology doesn’t have to cost the Earth, bringing an in-display fingerprint scanner and a tiny notch for just 37K. The gorgeous, crisp and colourful OLED display is a smidgen bigger at 6.41in, with a smaller chin at the bottom is simply amazing, coming to camera the new nightscape low light mode does a good job of eliminating hand-shake from long-exposure shots. The selfie camera is also pretty good Portrait mode works as advertised, Overall the camera on the OnePlus 6T is good and when you use the fingerprint sensor the night mode for the display is disabled temporarily and then fades back in once you’ve unlocked the phone. The phone comes with a screen protector already on it. the single bottom-firing speaker is loud and has a relatively large amount of bass for the phone, but is easily blocked while playing a game. OnePlus’s alert slider switches between silent, vibrate and ring and is still brilliant. OnePlus phones have always been good for the money, offering top specifications in well-built devices, but not pushing the boundaries of what’s possible. That’s changed for the OnePlus 6T. It is pushing what’s possible with the popular all-screen design using a tiny, attractive teardrop notch and a smaller chin, and it’s a better phone for it. But it is the introduction of a cutting-edge in-display fingerprint scanner, and making it work really well for as little as half the price of an iPhone XS, that is most impressive. there’s no wireless charging, it doesn’t have any of the fancy 3D face systems of some and it looks a little plain, but everything else is top notch. Even the software experience is excellent.; Pros:- Good battery life, great screen, excellent performance, dual-sim, good camera, Bluetooth 5, great software, tiny notch, in-screen fingerprint sensor, alert slider, super-fast charging battery, affordable price relative to premium phones, last but not least Blazing fast software; Cons:- No notification light, glass back but no wireless charging, no expandable storage.; Overall phone is excellent and it really delivers it's tagline Never Settle.; Being a Amazon Prime Member Still Delivery Was Slow And Packing Is Very Poor.....",82 people found this helpful,Helpful,5,5 Comments
aashu,Superb sexy,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Dis is classic phone. All time. Best in class.; Dis is classic phone. All time. Best in class.,,Helpful,0,Comment
Amazon Customer,Great phone... Totally VFM!!!,12 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,"For the cost , this is one value for money product. It is feature rich and perfect for a person like me. Am an avid foodie and traveller. This is a perfect phone to capture what I want whenever I want . And with amazing clarity. Also amazing speed . I became a fan with OnePlus 3 and this one has be convinced that this is one of the best smart phone options out there.; For the cost , this is one value for money product. It is feature rich and perfect for a person like me. Am an avid foodie and traveller. This is a perfect phone to capture what I want whenever I want . And with amazing clarity. Also amazing speed . I became a fan with OnePlus 3 and this one has be convinced that this is one of the best smart phone options out there.",,Helpful,0,Comment
Rajesh Kamble,awesome,6 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Awesome love it 😍🥰🥰😘😘😘😘; Awesome love it 😍🥰🥰😘😘😘😘,4 people found this helpful,Helpful,4,4 Comments
Amir iqbal,Amazing Phone,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Amazing Phone; Amazing Phone,One person found this helpful,Helpful,1,1 Comment
sambit,Wow,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Just superb; Just superb,7 people found this helpful,Helpful,3,3 Comments
Pri,Value for money!,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Crisp picture quality, impactful sound and an impressive battery life makes it a worthy investment. A blind buy for those who plan to upgrade to OnePlus from others...
Fingerprint sensor, face unlock are exciting features but not indispensible.
All in all its a fair deal if the base variant itself is 128gb!! What more can u ask for!!
I'm happy...
N yes...Thank you Amazon for the On time delivery..; Crisp picture quality, impactful sound and an impressive battery life makes it a worthy investment. A blind buy for those who plan to upgrade to OnePlus from others...; Fingerprint sensor, face unlock are exciting features but not indispensible.; All in all its a fair deal if the base variant itself is 128gb!! What more can u ask for!!; I'm happy...; N yes...Thank you Amazon for the On time delivery..",21 people found this helpful,Helpful,3,3 Comments
yeswanth,Thank you oneplus,7 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Picture quality,sound and battery life is awesome; Picture quality,sound and battery life is awesome",3 people found this helpful,Helpful,2,2 Comments
Prabhat Dixit,"Best in class, though need software side update",4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Totally loving the device, camera works beautifully with low light also, take awesome pictures. Selfie also come clean and sharp. 6gb ram can run two demanding games simultaneously in split screen without any lag. Apps looks nice on bigger screen, even videos looks great with sharp viewing angles and bright colors.
Dash charge, charges very fast keeping the battery long enough for 8-9 hours for heavy users.
In display fingerprint works like charm with beautiful animation but doesn't seem to be faster than previous type of scanner. Though face unlock is more faster than all.
Only downside is from software side, oxygen os is very fluid and smooth, 1)android pie has its issues, adaptive brightness automatically shift itself to lowest light every time screen goes off. So need update on that side.
People were complaint so much about 3.5 jack but i think very much manageable with the adapter provided; Totally loving the device, camera works beautifully with low light also, take awesome pictures. Selfie also come clean and sharp. 6gb ram can run two demanding games simultaneously in split screen without any lag. Apps looks nice on bigger screen, even videos looks great with sharp viewing angles and bright colors.; Dash charge, charges very fast keeping the battery long enough for 8-9 hours for heavy users.; In display fingerprint works like charm with beautiful animation but doesn't seem to be faster than previous type of scanner. Though face unlock is more faster than all.; Only downside is from software side, oxygen os is very fluid and smooth, 1)android pie has its issues, adaptive brightness automatically shift itself to lowest light every time screen goes off. So need update on that side.; People were complaint so much about 3.5 jack but i think very much manageable with the adapter provided",19 people found this helpful,Helpful,5,5 Comments
Selvakumar Selvanathan,Technically impressive and undeniable,9 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"The OnePlus 6T is undeniably the most advanced and accomplished phone from the company till now. The OnePlus 6 is still good, but the 6T gives it a boost in the battery department and a fancy way to unlock at a perfect price.
Cons :
Concern is the notification led light. we are not sure whether battery is 100% while charging. Single touch display to see notification is beautiful.
One plus should have added the charge + 3.5 jack in type c converter. which would be added value for those who watch movie or listen song while charging.; The OnePlus 6T is undeniably the most advanced and accomplished phone from the company till now. The OnePlus 6 is still good, but the 6T gives it a boost in the battery department and a fancy way to unlock at a perfect price.; Cons :; Concern is the notification led light. we are not sure whether battery is 100% while charging. Single touch display to see notification is beautiful.; One plus should have added the charge + 3.5 jack in type c converter. which would be added value for those who watch movie or listen song while charging.",2 people found this helpful,Helpful,1,1 Comment
Vishal Pandey,Super phone,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Pros: Glamorous looks, great free case, free screen guard, camera like SLR, super fast, face detection is lightening fast.
Cons: On screen sensor not super quick if not properly setup. If you setup properly, it's good.; Pros: Glamorous looks, great free case, free screen guard, camera like SLR, super fast, face detection is lightening fast.; Cons: On screen sensor not super quick if not properly setup. If you setup properly, it's good.",10 people found this helpful,Helpful,3,3 Comments
Satish,Camera quality not good,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Picture quality is not up to the mark, it's not as per the description given. Need to work hard on the same. Pic gets blurred when we zoom the camera. It states 20mp camera, but I don't think so that actually is.; Picture quality is not up to the mark, it's not as per the description given. Need to work hard on the same. Pic gets blurred when we zoom the camera. It states 20mp camera, but I don't think so that actually is.",One person found this helpful,Helpful,2,2 Comments
shubham gupta,Good camera flagship killer,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Good phone working very fast and night mood is awesome look is very good; Good phone working very fast and night mood is awesome look is very good,22 people found this helpful,Helpful,4,4 Comments
niwas,Awesomeness,9 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Well one plus 6T is awesome. It's truly a flagship killer. Camera cud have been a bit better but hey it's ok nothing can be too perfect right😂; Well one plus 6T is awesome. It's truly a flagship killer. Camera cud have been a bit better but hey it's ok nothing can be too perfect right😂,2 people found this helpful,Helpful,1,1 Comment
Ayush Goyal,Fantastic phone. With a BIG screen!,7 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Amazing battery life and a great experience to use it.; Amazing battery life and a great experience to use it.,5 people found this helpful,Helpful,1,1 Comment
Vinit singh,Good phone,9 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Good phone; Good phone,One person found this helpful,Helpful,1,1 Comment
Jaideep Ahlawat,Superbbbbbbb,6 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Everything is just super....you can only think what is not in this phone.... it's a rocking gadget; Everything is just super....you can only think what is not in this phone.... it's a rocking gadget,3 people found this helpful,Helpful,3,3 Comments
aditya s.,Just awesome,5 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Awesome phone midnight black is looks more beautiful; Awesome phone midnight black is looks more beautiful,7 people found this helpful,Helpful,3,3 Comments
manikantha,Superb....,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Lovely mobile... Simply love it.; Lovely mobile... Simply love it.,7 people found this helpful,Helpful,4,4 Comments
Amazon Customer,Beast just got better.,5 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Top notch all round performance!!; Top notch all round performance!!,4 people found this helpful,Helpful,3,3 Comments
Amazon Customer,very fast,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,its been a week now. enjoying every moment with it. So far all impressed and no issues found.; its been a week now. enjoying every moment with it. So far all impressed and no issues found.,One person found this helpful,Helpful,0,Comment
Prakash,No mobile can replace one plus,6 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Awesome ...Love u sooo much one plus; Awesome ...Love u sooo much one plus,One person found this helpful,Helpful,2,2 Comments
Jeganathan,OnePlus,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Awesome...; Awesome...,5 people found this helpful,Helpful,4,4 Comments
kartek bajaj,Simply Best,7 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,One Of the best phone in Maket For this Price.; One Of the best phone in Maket For this Price.,One person found this helpful,Helpful,1,1 Comment
RT,Marvelous and awesome product,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Marvelous and simply awesome mobile. No heating issue, long lasting battery, picture quality is superb
Fingerprint scanner is little slow but overall nice product.; Marvelous and simply awesome mobile. No heating issue, long lasting battery, picture quality is superb; Fingerprint scanner is little slow but overall nice product.",One person found this helpful,Helpful,0,Comment
Amazon Customer,OnePlus again proud itself,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,OnePlus again proud itself; OnePlus again proud itself,2 people found this helpful,Helpful,3,3 Comments
Tanmay Shukla,Flagship Killer,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"I got this phone on Friday evening.
Pros:
Great battery life
Amazing performance
Premium design
Impressive rear and front camera
In display fingerprint scanner is really fast
Cons:
No headphone jack but you'll get a converter
No notification LED
No microSD card slot
I will give points on my personal experience of 2 days full usage as below:
Weight: 9/10
OS: 10/10
Screen size: 10/10
CPU: 10/10
Performance: 10/10
Storage: 10/10 (you'll get approx 113 gb for use)
Battery: 8/10
Rear camera: 10/10
Front camera: 10/10
In display fingerprint scanner: 9/10
Face unlock: 10/10
I hope this will help full.; I got this phone on Friday evening.; Pros:; Great battery life; Amazing performance; Premium design; Impressive rear and front camera; In display fingerprint scanner is really fast; Cons:; No headphone jack but you'll get a converter; No notification LED; No microSD card slot; I will give points on my personal experience of 2 days full usage as below:; Weight: 9/10; OS: 10/10; Screen size: 10/10; CPU: 10/10; Performance: 10/10; Storage: 10/10 (you'll get approx 113 gb for use); Battery: 8/10; Rear camera: 10/10; Front camera: 10/10; In display fingerprint scanner: 9/10; Face unlock: 10/10; I hope this will help full.",58 people found this helpful,Helpful,4,4 Comments
Chhaya kaushik,Awesome,10 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Awesome; Awesome,One person found this helpful,Helpful,0,Comment
Amazon Customer,Singh,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Camera is awesome dammm cool work very smoothly; Camera is awesome dammm cool work very smoothly,2 people found this helpful,Helpful,0,Comment
Amazon Customer,MUST BUY,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Awesome mob...I loved it; Awesome mob...I loved it,2 people found this helpful,Helpful,3,3 Comments
sudhagar,Best in class,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Best in class, camera is awesome. And while playing pubg there was zero lag and the graphics at it's highest still didn't heat up the device. But battery management is weak, 4hrs of regular usage got me 34% from full charge.; Best in class, camera is awesome. And while playing pubg there was zero lag and the graphics at it's highest still didn't heat up the device. But battery management is weak, 4hrs of regular usage got me 34% from full charge.",One person found this helpful,Helpful,0,Comment
Aryan Siingh,One of the best Androids in the Market ❤💯,9 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,"The bottom front part could have so much more screen like the iPhone X , otherwise it`s a cool phone to have hands on.; The bottom front part could have so much more screen like the iPhone X , otherwise it`s a cool phone to have hands on.",One person found this helpful,Helpful,0,Comment
Ajay Aradhya,OnePlus's best phone till date! It's not just a simple upgrade from 6. Its a serious and real one.,9 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,"Best Android phone till date. I have been using it for 3 days now and OnePlus didn't let me down.
* Great battery life. I use mobile for texting, taking pics and pubg usually. I charge it once a day which is pretty great.
* Dash charging does help the phone to get charged to 90% in 50-60mins (3700mAh).
* You all know about the specs abt camera. But one thing to note is unlike oneplus 6, 6t's pro mode has bigger capture size.
* On screen finger print scanner amazes me each time I use it. Animation is so great. One thing i'd like to mention abt this animation is it is too bright even when brightness of the screen is minimum which is bad when you want to unlock ur phone at night time.
This is the best phone you can buy in 2018 and early 2019 at around 35-40k. So go ahead and buy it, I'm sure you won't regret it!; Best Android phone till date. I have been using it for 3 days now and OnePlus didn't let me down.; * Great battery life. I use mobile for texting, taking pics and pubg usually. I charge it once a day which is pretty great.; * Dash charging does help the phone to get charged to 90% in 50-60mins (3700mAh).; * You all know about the specs abt camera. But one thing to note is unlike oneplus 6, 6t's pro mode has bigger capture size.; * On screen finger print scanner amazes me each time I use it. Animation is so great. One thing i'd like to mention abt this animation is it is too bright even when brightness of the screen is minimum which is bad when you want to unlock ur phone at night time.; This is the best phone you can buy in 2018 and early 2019 at around 35-40k. So go ahead and buy it, I'm sure you won't regret it!",4 people found this helpful,Helpful,0,Comment
"Krishnakumar T T,Dr",Head set needed with the set,9 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Provide head set and gorilla glass with the hand set.; Provide head set and gorilla glass with the hand set.,One person found this helpful,Helpful,0,Comment
Dayanidhi,Good product,4 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Super package; Super package,8 people found this helpful,Helpful,3,3 Comments
ABHISHEK M.,Best one,12 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Loved the phone. It's just awesome; Loved the phone. It's just awesome,,Helpful,0,Comment
Rinsh,Very very good mobile,10 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Very good mobile superb battery life.overall very good phone love it; Very good mobile superb battery life.overall very good phone love it,,Helpful,0,Comment
A Anandhu Krishna,Crashed phone,5 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,Very baf; Very baf,9 people found this helpful,Helpful,3,3 Comments
Shashi Kant,Worst battery life,7 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,battery drain issue; battery drain issue,11 people found this helpful,Helpful,1,1 Comment
Vimla p parmar,Fine,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Fine; Fine,2 people found this helpful,Helpful,2,2 Comments
Amazon Customer,superb,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,good; good,One person found this helpful,Helpful,2,2 Comments
Sahil,One plus,10 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,The face lock doesn't work properly in the dark; The face lock doesn't work properly in the dark,,Helpful,0,Comment
YASSAR HUSSAIN,about quality of packing.,7 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"AS I HAD ALREADY CUSTOMER OF ONE PLUS 5,IAM VERY MUCH DISAPPOINTED WITH PACKING MATERIAL OF ONE PLUS 6T, I COMPARE BOTH BOXES OF ONE PLUS 5 AND 6T
WHEN I PICK MY NEW PHONE 6T,I FOUND MATERIAL USED IS VERY DULL,MY FIRST IMPRESSION WAS 0
BUT OVERALL PHONE IS WORKING WELL WITH LESS BATTERY BACKUP; AS I HAD ALREADY CUSTOMER OF ONE PLUS 5,IAM VERY MUCH DISAPPOINTED WITH PACKING MATERIAL OF ONE PLUS 6T, I COMPARE BOTH BOXES OF ONE PLUS 5 AND 6T; WHEN I PICK MY NEW PHONE 6T,I FOUND MATERIAL USED IS VERY DULL,MY FIRST IMPRESSION WAS 0; BUT OVERALL PHONE IS WORKING WELL WITH LESS BATTERY BACKUP",5 people found this helpful,Helpful,0,Comment
Amazon Customer,One plus,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Battery life is better. Picture quality is good. Sound quality is also reasonably good but definitely not the best among its competitors. Having said that, this phone is really really fast. Display is awesome. Dash charger is wow as usual.; Battery life is better. Picture quality is good. Sound quality is also reasonably good but definitely not the best among its competitors. Having said that, this phone is really really fast. Display is awesome. Dash charger is wow as usual.",9 people found this helpful,Helpful,2,2 Comments
Inder C.,Done the ma+h: 1+t > f1,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Amazing phone, just feels good.
Done the ma+h, price isn't everything.
You get what you pay for. :)
Excellent battery,
Great screen,
Amazing performance,
Smoooth OS,
Great camera,
Surprisingly decent audio,
Cool screen unlock and ridiculously fast face unlock.
The phone is worth every penny spent.; Amazing phone, just feels good.; Done the ma+h, price isn't everything.; You get what you pay for. :); Excellent battery,; Great screen,; Amazing performance,; Smoooth OS,; Great camera,; Surprisingly decent audio,; Cool screen unlock and ridiculously fast face unlock.; The phone is worth every penny spent.",36 people found this helpful,Helpful,4,4 Comments
SANJAY,Very nice phone,5 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,"First offall thanks to One Plus company to making such a nice phone... Very comfortable for using,,, camera quality is awesome... Sound quality is OK.... Battery life is great .. But It's little bit heavy... That's OK will adjust... Totally amazing phone... Thanks Amazon... For one day delivery..; First offall thanks to One Plus company to making such a nice phone... Very comfortable for using,,, camera quality is awesome... Sound quality is OK.... Battery life is great .. But It's little bit heavy... That's OK will adjust... Totally amazing phone... Thanks Amazon... For one day delivery..",2 people found this helpful,Helpful,2,2 Comments
